FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSMUSG00000072949,Acot1,1.955275734,-1.628001388,0.020917293,6.055354547,1.628001388,0.020917293
ENSMUSG00000021248,Tmed10,1.952845143,-0.900168236,0.24786356,3.650771549,0.900168236,0.24786356
ENSMUSG00000040681,Hmgn1,1.951089716,-0.68579902,0.399494646,3.143516718,0.68579902,0.399494646
ENSMUSG00000063856,Gpx1,1.944878204,0.08816749,0.924912825,1.831482587,-0.08816749,0.924912825
ENSMUSG00000053560,Ier2,1.935966036,-0.541288903,0.52654456,2.821604998,0.541288903,0.52654456
ENSMUSG00000022205,Sub1,1.93380551,-0.540405873,0.524274126,2.816727548,0.540405873,0.524274126
ENSMUSG00000061983,Rps12,1.930429689,1.533967206,0.369082738,0.665771966,-1.533967206,0.369082738
ENSMUSG00000029522,Pla2g1b,1.927458966,3.137924487,0.039297581,0.217046538,-3.137924487,0.039297581
ENSMUSG00000059796,Eif4a1,1.911390057,-0.781043188,0.326818805,3.289840227,0.781043188,0.326818805
ENSMUSG00000067288,Rps28,1.906528874,1.09046497,0.618459297,0.89501213,-1.09046497,0.618459297
ENSMUSG00000037894,H2afz,1.906258808,-1.017354492,0.184893532,3.865379362,1.017354492,0.184893532
ENSMUSG00000026547,Tagln2,1.903288085,-1.736048702,0.012391816,6.352879015,1.736048702,0.012391816
ENSMUSG00000040652,Oaz2,1.901397625,-0.58092013,0.488573512,2.848430975,0.58092013,0.488573512
ENSMUSG00000024248,Cox7a2l,1.900587428,0.565130137,1,1.285208154,-0.565130137,1
ENSMUSG00000036751,Cox6b1,1.898426902,-1.090821235,0.149928828,4.050722474,1.090821235,0.149928828
ENSMUSG00000036199,Ndufa13,1.892890555,-0.811014955,0.305117294,3.326421104,0.811014955,0.305117294
ENSMUSG00000033379,Atp6v0b,1.884518518,-0.271546844,0.795573084,2.27776929,0.271546844,0.795573084
ENSMUSG00000038717,Atp5l,1.873040726,-0.55236713,0.513356368,2.750881969,0.55236713,0.513356368
ENSMUSG00000041571,Sepw1,1.864668689,-1.311301374,0.076986634,4.63601651,1.311301374,0.076986634
ENSMUSG00000078812,Eif5a,1.85859221,-0.612533112,0.461511498,2.84599225,0.612533112,0.461511498
ENSMUSG00000042682,Selk,1.854946323,-1.105021273,0.143661149,3.99707052,1.105021273,0.143661149
ENSMUSG00000031059,Ndufb11,1.851165403,-0.253443332,0.81451162,2.209484986,0.253443332,0.81451162
ENSMUSG00000024130,Abca3,1.840227742,2.023807737,0.19634703,0.451164153,-2.023807737,0.19634703
ENSMUSG00000025428,Atp5a1,1.823348635,-0.656119603,0.424138815,2.877695677,0.656119603,0.424138815
ENSMUSG00000023367,Tmem176a,1.821458175,-1.512518746,0.035269477,5.206678195,1.512518746,0.035269477
ENSMUSG00000040713,Creg1,1.816191894,-0.057770519,0.786946161,1.892450716,0.057770519,0.786946161
ENSMUSG00000075701,Vimp,1.809710317,-1.219380421,0.104921172,4.221433234,1.219380421,0.104921172
ENSMUSG00000020440,Arf5,1.809440251,-1.414113749,0.05216377,4.831114522,1.414113749,0.05216377
ENSMUSG00000027712,Anxa5,1.808089923,-1.39170787,0.057719807,4.753075317,1.39170787,0.057719807
ENSMUSG00000035227,Spcs2,1.804984167,-0.496975251,0.565270592,2.550906507,0.496975251,0.565270592
ENSMUSG00000030647,Ndufc2,1.800258017,-1.17175012,0.121817614,4.0629161,1.17175012,0.121817614
ENSMUSG00000033595,Lgi3,1.798907689,3.006643858,0.048050859,0.221923989,-3.006643858,0.048050859
ENSMUSG00000062778,Chia1,1.794586637,2.719381571,0.084840066,0.270698492,-2.719381571,0.084840066
ENSMUSG00000006304,Arpc2,1.78810506,-0.603896653,0.469459137,2.721617267,0.603896653,0.469459137
ENSMUSG00000020719,Ddx5,1.784459173,-1.287977193,0.083491204,4.365318018,1.287977193,0.083491204
ENSMUSG00000031812,Map1lc3b,1.766769869,-1.14685093,0.126277698,3.919031316,1.14685093,0.126277698
ENSMUSG00000034353,Ramp1,1.766229738,2.459365552,0.110285428,0.319472995,-2.459365552,0.110285428
ENSMUSG00000030057,Cnbp,1.762448818,-0.606548816,0.466687599,2.687475115,0.606548816,0.466687599
ENSMUSG00000028410,Dnaja1,1.762313785,-1.36672101,0.062650087,4.553099855,1.36672101,0.062650087
ENSMUSG00000039450,Dcxr,1.760828424,-1.564727742,0.027928469,5.218871821,1.564727742,0.027928469
ENSMUSG00000029484,Anxa3,1.760423325,0.983309579,0.697034857,0.89013468,-0.983309579,0.697034857
ENSMUSG00000063882,Uqcrh,1.755292077,-0.393944788,0.66814798,2.309472717,0.393944788,0.66814798
ENSMUSG00000023043,Krt18,1.750160828,-1.844256752,0.006963105,6.296788337,1.844256752,0.006963105
ENSMUSG00000030432,Rpl28,1.712756727,-0.03244274,0.811544688,1.753443383,0.03244274,0.811544688
ENSMUSG00000053565,Eif3k,1.709515939,0.353390386,1,1.338860107,-0.353390386,1
ENSMUSG00000041881,Ndufa7,1.708840775,-0.773912093,0.33191996,2.92647018,0.773912093,0.33191996
ENSMUSG00000057322,Rpl38,1.702764296,0.102241363,0.938697538,1.587610073,-0.102241363,0.938697538
ENSMUSG00000006519,Cyba,1.702359198,0.824917434,0.818288035,0.960857709,-0.824917434,0.818288035
ENSMUSG00000014769,Psmb1,1.691421536,-0.562892674,0.505345942,2.502132004,0.562892674,0.505345942
ENSMUSG00000061904,Slc25a3,1.690206241,-1.319597265,0.074853352,4.226310685,1.319597265,0.074853352
ENSMUSG00000015092,Edf1,1.686560354,-0.342543538,0.527058038,2.141200682,0.342543538,0.527058038
ENSMUSG00000064345,mt-Nd2,1.679943744,-0.272398325,0.588069312,2.03145805,0.272398325,0.588069312
ENSMUSG00000031708,Tecr,1.675082561,-0.402397868,0.660581591,2.216801161,0.402397868,0.660581591
ENSMUSG00000020849,Ywhae,1.66509013,-1.978446174,0.002915124,6.574803004,1.978446174,0.002915124
ENSMUSG00000021546,Hnrnpk,1.663739801,-1.259315328,0.091976921,3.989754345,1.259315328,0.091976921
ENSMUSG00000048076,Arf1,1.659823848,-1.007940893,0.188981902,3.34349218,1.007940893,0.188981902
ENSMUSG00000022636,Alcam,1.657933388,-0.157375698,0.693254188,1.850992389,0.157375698,0.693254188
ENSMUSG00000060802,B2m,1.65752829,0.529484339,1,1.148639546,-0.529484339,1
ENSMUSG00000022312,Eif3h,1.655097699,0.410010447,1,1.246188552,-0.410010447,1
ENSMUSG00000020163,Uqcr11,1.650641614,-0.970004087,0.206981884,3.238626999,0.970004087,0.206981884
ENSMUSG00000001496,Nkx2-1,1.647535859,0.065782571,0.904214196,1.575416447,-0.065782571,0.904214196
ENSMUSG00000005873,Reep5,1.643079774,-1.075222491,0.157017396,3.467867163,1.075222491,0.157017396
ENSMUSG00000022892,App,1.64145938,0.370168098,1,1.270575803,-0.370168098,1
ENSMUSG00000016256,Ctsz,1.636868263,1.96776884,0.209455127,0.417022001,-1.96776884,0.209455127
ENSMUSG00000079037,Prnp,1.636598197,0.732017468,0.891694701,0.985244961,-0.732017468,0.891694701
ENSMUSG00000029622,Arpc1b,1.633762508,0.871657632,0.779680845,0.892573405,-0.871657632,0.779680845
ENSMUSG00000027248,Pdia3,1.626065635,-1.299390209,0.080618085,4.009264146,1.299390209,0.080618085
ENSMUSG00000024091,Vapa,1.618773861,-1.790673952,0.009220633,5.61150657,1.790673952,0.009220633
ENSMUSG00000063316,Rpl27,1.613912678,-0.126186294,0.722573239,1.763198283,0.126186294,0.722573239
ENSMUSG00000044627,Swi5,1.608106265,-2.284832695,0.000289778,7.852694982,2.284832695,0.000289778
ENSMUSG00000036752,Tubb4b,1.604190312,-3.458424133,1.09E-10,17.67344116,3.458424133,1.09E-10
ENSMUSG00000019362,D8Ertd738e,1.595953308,-0.39903945,0.481507834,2.107058529,0.39903945,0.481507834
ENSMUSG00000026568,Mpc2,1.594738013,0.021027601,0.863564173,1.572977722,-0.021027601,0.863564173
ENSMUSG00000020048,Hsp90b1,1.5889316,-1.477773839,0.040769525,4.433602322,1.477773839,0.040769525
ENSMUSG00000022505,Emp2,1.577858906,-0.583744472,0.488497539,2.36800212,0.583744472,0.488497539
ENSMUSG00000020423,Btg2,1.568541639,0.210990872,1,1.355931183,-0.210990872,1
ENSMUSG00000022956,Atp5o,1.565840982,-0.754769904,0.346704426,2.646016788,0.754769904,0.346704426
ENSMUSG00000009013,Dynll1,1.547476513,-3.834026123,9.73E-14,22.11923711,3.834026123,9.73E-14
ENSMUSG00000058600,Rpl30,1.543425528,0.211206372,1,1.333982657,-0.211206372,1
ENSMUSG00000024953,Prdx5,1.536133754,-2.900329022,4.21E-07,11.49371163,2.900329022,4.21E-07
ENSMUSG00000068523,Gng5,1.529922242,-1.833364907,0.007256047,5.462744335,1.833364907,0.007256047
ENSMUSG00000053317,Sec61b,1.526681454,-0.643134901,0.435500247,2.387511922,0.643134901,0.435500247
ENSMUSG00000029713,Gnb2,1.526411388,-1.604597627,0.02346259,4.650648861,1.604597627,0.02346259
ENSMUSG00000018821,Avpi1,1.525601191,-0.203373095,0.652458792,1.758320833,0.203373095,0.652458792
ENSMUSG00000007041,Clic1,1.520740008,-2.351010392,0.000164319,7.774655777,2.351010392,0.000164319
ENSMUSG00000023861,Mpc1,1.514528497,-2.130596132,0.00101026,6.645526033,2.130596132,0.00101026
ENSMUSG00000020205,Phlda1,1.513583267,1.473718193,0.40522191,0.543835708,-1.473718193,0.40522191
ENSMUSG00000032330,Cox7a2,1.511557774,-0.666302471,0.416121764,2.402144273,0.666302471,0.416121764
ENSMUSG00000001105,Ift20,1.508722084,-1.353834562,0.065873295,3.862940637,1.353834562,0.065873295
ENSMUSG00000030357,Fkbp4,1.505616329,-0.987459602,0.19909196,2.989877034,0.987459602,0.19909196
ENSMUSG00000024190,Dusp1,1.502645606,-0.31058978,0.553342541,1.86562474,0.31058978,0.553342541
ENSMUSG00000028070,Apoa1bp,1.496299062,-1.83615723,0.007139092,5.353001704,1.83615723,0.007139092
ENSMUSG00000020644,Id2,1.494138536,0.416930615,1,1.119374844,-0.416930615,1
ENSMUSG00000018585,Atox1,1.491572912,0.014388766,0.85730984,1.477867441,-0.014388766,0.85730984
ENSMUSG00000020027,Socs2,1.476584265,1.279587701,0.501414147,0.607242562,-1.279587701,0.501414147
ENSMUSG00000020267,Hint1,1.472128181,-2.119835094,0.001093136,6.411408419,2.119835094,0.001093136
ENSMUSG00000062270,Morf4l1,1.470912885,-1.300307429,0.080347357,3.628823023,1.300307429,0.080347357
ENSMUSG00000022884,Eif4a2,1.470102688,-0.428085733,0.459294749,1.980244822,0.428085733,0.459294749
ENSMUSG00000040731,Eif4h,1.465916669,0.367633611,1,1.13644592,-0.367633611,1
ENSMUSG00000004980,Hnrnpa2b1,1.456734435,-0.811698965,0.305443677,2.560661407,0.811698965,0.305443677
ENSMUSG00000028416,Bag1,1.447822267,-1.537892076,0.031492096,4.211678334,1.537892076,0.031492096
ENSMUSG00000021939,Ctsb,1.44701207,0.115525608,0.952651492,1.336421382,-0.115525608,0.952651492
ENSMUSG00000054428,Atpif1,1.446201873,-2.746431392,2.73E-06,9.725635897,2.746431392,2.73E-06
ENSMUSG00000028964,Park7,1.444851544,-1.567327255,0.02767682,4.289717538,1.567327255,0.02767682
ENSMUSG00000038412,Higd1a,1.441475723,-0.164381383,0.686929876,1.616874774,0.164381383,0.686929876
ENSMUSG00000025153,Fasn,1.433103686,2.742823673,0.073717747,0.212169088,-2.742823673,0.073717747
ENSMUSG00000025204,Ndufb8,1.42810747,-0.618165971,0.321589947,2.194852635,0.618165971,0.321589947
ENSMUSG00000056429,Tgoln1,1.427432306,1.475435979,0.39757605,0.512132281,-1.475435979,0.39757605
ENSMUSG00000052738,Suclg1,1.426081977,-1.108610864,0.142667101,3.080109864,1.108610864,0.142667101
ENSMUSG00000025260,Hsd17b10,1.422976222,0.720349605,0.900485068,0.863308703,-0.720349605,0.900485068
ENSMUSG00000022010,Tsc22d1,1.412848757,-2.15979754,0.000815202,6.326053039,2.15979754,0.000815202
ENSMUSG00000030536,Iqgap1,1.411633462,-0.544033954,0.372558221,2.060722752,0.544033954,0.372558221
ENSMUSG00000046432,Ngfrap1,1.411633462,0.188958053,1,1.238872376,-0.188958053,1
ENSMUSG00000024012,Mtch1,1.4101481,0.54233658,1,0.968173884,-0.54233658,1
ENSMUSG00000025283,Sat1,1.408527706,1.022484503,0.670910333,0.692597943,-1.022484503,0.670910333
ENSMUSG00000017778,Cox7c,1.405151885,-0.960585236,0.212568748,2.738688343,0.960585236,0.212568748
ENSMUSG00000041261,Car8,1.398670308,0.711844357,0.907679428,0.853553802,-0.711844357,0.907679428
ENSMUSG00000032366,Tpm1,1.390703369,-0.376344202,0.500816756,1.807095336,0.376344202,0.500816756
ENSMUSG00000009549,Srp14,1.385842187,-0.958559594,0.21382117,2.697230016,0.958559594,0.21382117
ENSMUSG00000038690,Atp5j2,1.385572121,-0.640817098,0.305689391,2.163149208,0.640817098,0.305689391
ENSMUSG00000024538,Ppic,1.385302055,1.024034551,0.6663973,0.680404317,-1.024034551,0.6663973
ENSMUSG00000018286,Psmb6,1.383546628,-1.706492562,0.014460207,4.523835153,1.706492562,0.014460207
ENSMUSG00000032076,Cadm1,1.381386102,0.124094439,0.961129307,1.268137078,-0.124094439,0.961129307
ENSMUSG00000002944,Cd36,1.379360609,3.289136272,0.031427255,0.139007334,-3.289136272,0.031427255
ENSMUSG00000027952,Pmvk,1.378550412,1.638475063,0.330205868,0.441409252,-1.638475063,0.330205868
ENSMUSG00000031996,Aplp2,1.372473934,-0.744273467,0.355279942,2.302156541,0.744273467,0.355279942
ENSMUSG00000072115,Ang,1.37179877,1.790459085,0.267499026,0.395073474,-1.790459085,0.267499026
ENSMUSG00000016252,Atp5e,1.367747784,-0.798769644,0.315182332,2.382634471,0.798769644,0.315182332
ENSMUSG00000001663,Gstt1,1.356945156,2.277992288,0.137595996,0.278014667,-2.277992288,0.137595996
ENSMUSG00000059005,Hnrnpa3,1.352624104,-0.702892628,0.38703349,2.204607535,0.702892628,0.38703349
ENSMUSG00000036880,Acaa2,1.348032987,-1.63673031,0.020286103,4.199484708,1.63673031,0.020286103
ENSMUSG00000056629,Fkbp2,1.346952724,-0.024170905,0.821374362,1.370563534,0.024170905,0.821374362
ENSMUSG00000020321,Mdh1,1.346007494,-1.509328577,0.035534986,3.838553386,1.509328577,0.035534986
ENSMUSG00000039910,Cited2,1.344657166,1.191496391,0.555114146,0.587732761,-1.191496391,0.555114146
ENSMUSG00000025781,Atp5c1,1.337365392,-0.678843996,0.282697736,2.143639407,0.678843996,0.282697736
ENSMUSG00000015120,Ube2i,1.336420162,0.316860939,1,1.073039066,-0.316860939,1
ENSMUSG00000060969,Irx1,1.336285129,2.486640177,0.106668771,0.23655634,-2.486640177,0.106668771
ENSMUSG00000015671,Psma2,1.332774275,-1.073621808,0.158088429,2.809411373,1.073621808,0.158088429
ENSMUSG00000021728,Emb,1.332639242,-0.984740214,0.200460336,2.641139337,0.984740214,0.200460336
ENSMUSG00000037499,Nenf,1.322376745,-1.062219644,0.163648999,2.76551432,1.062219644,0.163648999
ENSMUSG00000031633,Slc25a4,1.322106679,-1.652974381,0.018796008,4.165342556,1.652974381,0.018796008
ENSMUSG00000022452,Smdt1,1.313734642,-1.231540483,0.10086942,3.089864765,1.231540483,0.10086942
ENSMUSG00000004667,Polr2e,1.312249281,0.6828492,0.931205272,0.816972925,-0.6828492,0.931205272
ENSMUSG00000020592,Sdc1,1.311979215,-0.124802634,0.724855228,1.431531663,0.124802634,0.724855228
ENSMUSG00000020372,Gnb2l1,1.311844182,0.132206727,0.969612983,1.197414049,-0.132206727,0.969612983
ENSMUSG00000018593,Sparc,1.301041554,3.53923118,0.024429986,0.109742632,-3.53923118,0.024429986
ENSMUSG00000022450,Ndufa6,1.300501422,-0.336549557,0.532749638,1.643700751,0.336549557,0.532749638
ENSMUSG00000062683,Atp5g2,1.300096324,-0.885161554,0.258358483,2.404582998,0.885161554,0.258358483
ENSMUSG00000029390,Tmed2,1.296180371,-1.134899666,0.131528601,2.8508697,1.134899666,0.131528601
ENSMUSG00000030541,Idh2,1.293614747,0.094533053,0.931680932,1.212046399,-0.094533053,0.931680932
ENSMUSG00000031451,Gas6,1.293344681,-0.530728705,0.381040522,1.87050219,0.530728705,0.381040522
ENSMUSG00000045394,Epcam,1.291724287,-1.291870567,0.082672074,3.16790397,1.291870567,0.082672074
ENSMUSG00000022354,Ndufb9,1.286052907,-1.030737762,0.17857118,2.631384437,1.030737762,0.17857118
ENSMUSG00000058569,Tmed9,1.285512776,-0.745691037,0.24403897,2.158271758,0.745691037,0.24403897
ENSMUSG00000031661,Nkd1,1.280246494,3.791622622,0.014161824,0.090232831,-3.791622622,0.014161824
ENSMUSG00000026473,Glul,1.279706363,-0.760340218,0.236251417,2.170465383,0.760340218,0.236251417
ENSMUSG00000069744,Psmb3,1.27957133,-1.126117746,0.135222112,2.797217747,1.126117746,0.135222112
ENSMUSG00000002395,Use1,1.277140739,1.05876649,0.6422509,0.612120013,-1.05876649,0.6422509
ENSMUSG00000021270,Hsp90aa1,1.274034983,-3.647605557,3.76E-12,16.00291443,3.647605557,3.76E-12
ENSMUSG00000014294,Ndufa2,1.272684654,-0.776350498,0.227628093,2.182659009,0.776350498,0.227628093
ENSMUSG00000105361,AY036118,1.27106426,-0.315129312,0.550899569,1.582732622,0.315129312,0.550899569
ENSMUSG00000019054,Fis1,1.27011903,-0.513003169,0.395020034,1.814411511,0.513003169,0.395020034
ENSMUSG00000041355,Ssr2,1.268363603,0.040256399,0.882242926,1.233994926,-0.040256399,0.882242926
ENSMUSG00000055839,Tceb2,1.267688439,-1.343176211,0.068727327,3.221555923,1.343176211,0.068727327
ENSMUSG00000055762,Eef1d,1.267148307,-0.172501206,0.679797573,1.429092938,0.172501206,0.679797573
ENSMUSG00000040564,Apoc1,1.26633811,3.814339486,0.014115799,0.087794105,-3.814339486,0.014115799
ENSMUSG00000010376,Nedd8,1.261341895,-1.073345199,0.158280992,2.658210413,1.073345199,0.158280992
ENSMUSG00000027673,Ndufb5,1.248243708,-1.214925636,0.106741991,2.902082928,1.214925636,0.106741991
ENSMUSG00000027562,Car2,1.247028412,1.485927077,0.393056271,0.443847977,-1.485927077,0.393056271
ENSMUSG00000040385,Ppp1ca,1.239331539,-1.104019423,0.144862913,2.667965314,1.104019423,0.144862913
ENSMUSG00000020153,Ndufs7,1.235820685,-1.043442304,0.172359884,2.550906507,1.043442304,0.172359884
ENSMUSG00000029649,Pomp,1.234740422,-1.254641237,0.093699813,2.950857431,1.254641237,0.093699813
ENSMUSG00000055302,Mrfap1,1.230014272,-1.384512418,0.058711494,3.216678473,1.384512418,0.058711494
ENSMUSG00000024981,Acsl5,1.225963287,0.921768604,0.740562274,0.646262165,-0.921768604,0.740562274
ENSMUSG00000059534,Uqcr10,1.224612958,-0.444498885,0.447060559,1.668088002,0.444498885,0.447060559
ENSMUSG00000019179,Mdh2,1.224072827,-1.133699553,0.132067432,2.68991384,1.133699553,0.132067432
ENSMUSG00000047459,Dynlrb1,1.222857531,-0.704327642,0.267499026,1.994877173,0.704327642,0.267499026
ENSMUSG00000028936,Rpl22,1.219751775,0.510292038,1,0.855992528,-0.510292038,1
ENSMUSG00000034868,Myl12b,1.218806545,-0.801232494,0.214043635,2.126568331,0.801232494,0.214043635
ENSMUSG00000055681,Cope,1.212460001,-0.376547715,0.501414147,1.575416447,0.376547715,0.501414147
ENSMUSG00000096210,H1f0,1.210164443,0.941532151,0.731011566,0.629191089,-0.941532151,0.731011566
ENSMUSG00000022216,Psme1,1.209894377,0.048125397,0.888964244,1.170588072,-0.048125397,0.888964244
ENSMUSG00000084786,Ubl5,1.205438293,-0.995671462,0.19571331,2.407021723,0.995671462,0.19571331
ENSMUSG00000053898,Ech1,1.205168227,-1.409571225,0.053518198,3.206923572,1.409571225,0.053518198
ENSMUSG00000030659,Nucb2,1.201387307,0.982055556,0.695504675,0.607242562,-0.982055556,0.695504675
ENSMUSG00000031950,Gabarapl2,1.196931223,-1.314908469,0.07653099,2.982560858,1.314908469,0.07653099
ENSMUSG00000056201,Cfl1,1.195985993,-1.523206011,0.033787422,3.443479911,1.523206011,0.033787422
ENSMUSG00000005054,Cstb,1.191529909,-0.901672912,0.248263953,2.228994787,0.901672912,0.248263953
ENSMUSG00000027187,Cat,1.189099317,-0.221808701,0.634941443,1.38763461,0.221808701,0.634941443
ENSMUSG00000047260,Emc6,1.184373167,-1.41369821,0.052710123,3.160587794,1.41369821,0.052710123
ENSMUSG00000022090,Pdlim2,1.183968069,2.297414452,0.134845141,0.238995065,-2.297414452,0.134845141
ENSMUSG00000036138,Acaa1a,1.182887806,-0.44086792,0.449059222,1.607119874,0.44086792,0.449059222
ENSMUSG00000028478,Clta,1.181537478,-0.886765005,0.174923554,2.187536459,0.886765005,0.174923554
ENSMUSG00000075054,Yae1d1,1.181537478,0.952263075,0.719035274,0.609681287,-0.952263075,0.719035274
ENSMUSG00000027566,Psma7,1.179376952,-1.462537847,0.043401651,3.255698075,1.462537847,0.043401651
ENSMUSG00000041012,Cmtm8,1.179106886,-0.860523631,0.187190856,2.143639407,0.860523631,0.187190856
ENSMUSG00000040048,Ndufb10,1.17883682,-0.909217091,0.243496006,2.216801161,0.909217091,0.243496006
ENSMUSG00000028967,Errfi1,1.178566755,2.942895206,0.054366363,0.151200959,-2.942895206,0.054366363
ENSMUSG00000004285,Atp6v1f,1.178026623,-1.027392401,0.180253919,2.404582998,1.027392401,0.180253919
ENSMUSG00000024856,Cdk2ap2,1.176811328,-0.933724103,0.229097131,2.250943313,0.933724103,0.229097131
ENSMUSG00000020738,Sumo2,1.173435506,-1.405791193,0.054369792,3.114252016,1.405791193,0.054369792
ENSMUSG00000022400,Rbx1,1.171139948,-1.198774469,0.112562944,2.692352565,1.198774469,0.112562944
ENSMUSG00000042541,Shfm1,1.170734849,-2.261870382,0.000353417,5.626138921,2.261870382,0.000353417
ENSMUSG00000078578,Ube2d3,1.168979422,-1.240084039,0.098830501,2.76551432,1.240084039,0.098830501
ENSMUSG00000041959,S100a10,1.167764126,0.003010234,0.848397223,1.165710622,-0.003010234,0.848397223
ENSMUSG00000028494,Plin2,1.167223995,1.205784988,0.545408293,0.504816106,-1.205784988,0.545408293
ENSMUSG00000005161,Prdx2,1.167088962,-1.239874331,0.098427605,2.76063687,1.239874331,0.098427605
ENSMUSG00000042747,Krtcap2,1.162497845,0.242160497,1,0.982806235,-0.242160497,1
ENSMUSG00000029186,Pi4k2b,1.154665939,0.541892441,1,0.792585674,-0.541892441,1
ENSMUSG00000001794,Capns1,1.153855742,-0.586125372,0.343437285,1.733933581,0.586125372,0.343437285
ENSMUSG00000047040,Prr15l,1.144808541,-1.355366809,0.065877737,2.933786355,1.355366809,0.065877737
ENSMUSG00000033161,Atp1a1,1.143728278,-1.789332971,0.009453109,3.960489643,1.789332971,0.009453109
ENSMUSG00000054452,Aes,1.142512983,-0.471156305,0.426176696,1.585171347,0.471156305,0.426176696
ENSMUSG00000032249,Anp32a,1.142242917,-0.976732636,0.204280644,2.250943313,0.976732636,0.204280644
ENSMUSG00000025362,Rps26,1.141027621,0.034277019,0.876988427,1.114497393,-0.034277019,0.876988427
ENSMUSG00000027620,Rbm39,1.138867095,-1.747638691,0.011904435,3.83123721,1.747638691,0.011904435
ENSMUSG00000015575,Atp6v0e,1.138191931,-1.139937244,0.129729893,2.511886904,1.139937244,0.129729893
ENSMUSG00000064215,Ifi27,1.136166438,0.024971671,0.867204675,1.116936119,-0.024971671,0.867204675
ENSMUSG00000001642,Akr1b3,1.135221208,0.923606906,0.740346753,0.597487662,-0.923606906,0.740346753
ENSMUSG00000016541,Atxn10,1.134951143,-0.761755686,0.235854482,1.926592868,0.761755686,0.235854482
ENSMUSG00000078974,Sec61g,1.13387088,-0.039477315,0.806644464,1.165710622,0.039477315,0.806644464
ENSMUSG00000079547,H2-DMb1,1.133330748,2.371864109,0.121817614,0.217046538,-2.371864109,0.121817614
ENSMUSG00000027404,Snrpb,1.122393087,-1.421735074,0.051102609,3.01182556,1.421735074,0.051102609
ENSMUSG00000020219,Timm13,1.115371379,-1.066215422,0.162082094,2.338737419,1.066215422,0.162082094
ENSMUSG00000023939,Mrpl14,1.111725492,-0.275183479,0.587269639,1.346176283,0.275183479,0.587269639
ENSMUSG00000068290,Ddrgk1,1.111455426,-0.349273618,0.52323384,1.416899312,0.349273618,0.52323384
ENSMUSG00000006057,Atp5g1,1.111050327,-0.815975826,0.206811457,1.958296295,0.815975826,0.206811457
ENSMUSG00000057113,Npm1,1.104838816,-0.453782176,0.440313413,1.514448318,0.453782176,0.440313413
ENSMUSG00000032966,Fkbp1a,1.088364808,-1.64795307,0.019885668,3.416653935,1.64795307,0.019885668
ENSMUSG00000032294,Pkm,1.085799184,-0.160982927,0.691872003,1.214485125,0.160982927,0.691872003
ENSMUSG00000007815,Rhoa,1.082693428,-1.074124157,0.159033462,2.28264674,1.074124157,0.159033462
ENSMUSG00000002015,Bcap31,1.081343099,-1.793670284,0.009197088,3.755636731,1.793670284,0.009197088
ENSMUSG00000036835,Psenen,1.079587672,-1.147410392,0.126909558,2.394828097,1.147410392,0.126909558
ENSMUSG00000029759,Pon3,1.078642442,1.112893572,0.603956178,0.497499931,-1.112893572,0.603956178
ENSMUSG00000027380,Acoxl,1.073106095,3.615025614,0.018960579,0.08535538,-3.615025614,0.018960579
ENSMUSG00000006932,Ctnnb1,1.072971062,-0.601093314,0.333666372,1.6290684,0.601093314,0.333666372
ENSMUSG00000032575,Manf,1.071485701,-0.416901577,0.469268358,1.431531663,0.416901577,0.469268358
ENSMUSG00000026421,Csrp1,1.070135373,0.384346929,1,0.81941165,-0.384346929,1
ENSMUSG00000044080,S100a1,1.069865307,-2.973882373,1.76E-07,8.423356667,2.973882373,1.76E-07
ENSMUSG00000041560,Gltscr2,1.069730274,0.523017702,1,0.743811171,-0.523017702,1
ENSMUSG00000066150,Slc31a1,1.06905511,0.47115578,1,0.770637147,-0.47115578,1
ENSMUSG00000020183,Cpm,1.067029617,0.419207146,1,0.797463124,-0.419207146,1
ENSMUSG00000044986,Tst,1.061898368,-1.991745724,0.00273772,4.231188135,1.991745724,0.00273772
ENSMUSG00000033916,Chmp2a,1.056362021,-1.27253385,0.088486246,2.555783957,1.27253385,0.088486246
ENSMUSG00000021134,Srsf5,1.055956923,-0.651916103,0.300105554,1.660771827,0.651916103,0.300105554
ENSMUSG00000025967,Eef1b2,1.055281759,0.429872332,1,0.782830773,-0.429872332,1
ENSMUSG00000060143,Gm10076,1.049070247,-1.194632933,0.114445993,2.404582998,1.194632933,0.114445993
ENSMUSG00000037058,Paip2,1.045019262,-2.175148628,0.000723969,4.728688065,2.175148628,0.000723969
ENSMUSG00000021922,Itih4,1.038267619,3.567417339,0.02245265,0.08535538,-3.567417339,0.02245265
ENSMUSG00000026888,Grb14,1.037997553,0.229172438,1,0.885257229,-0.229172438,1
ENSMUSG00000039218,Srrm2,1.037187356,-0.995478325,0.130493469,2.070477652,0.995478325,0.130493469
ENSMUSG00000038900,Rpl12,1.034621732,0.147305547,0.986110678,0.934031732,-0.147305547,0.986110678
ENSMUSG00000037685,Atp8a1,1.030840812,0.796249562,0.841390996,0.592610211,-0.796249562,0.841390996
ENSMUSG00000061518,Cox5b,1.030570746,-0.979023454,0.136876462,2.033896775,0.979023454,0.136876462
ENSMUSG00000024914,Drap1,1.021253479,-0.644043899,0.305169654,1.597364973,0.644043899,0.305169654
