FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSMUSG00000073411,H2-D1,6.343573442,0.448190779,0.874868215,4.657965036,-0.448190779,0.874868215
ENSMUSG00000023010,Tmbim6,6.263769025,-0.464377383,0.594623914,8.659913007,0.464377383,0.594623914
ENSMUSG00000003970,Rpl8,6.167355567,0.429609067,0.889244566,4.587242007,-0.429609067,0.889244566
ENSMUSG00000026238,Ptma,6.143049653,-1.717975032,0.013385805,20.25361237,1.717975032,0.013385805
ENSMUSG00000020460,Rps27a,6.133462321,0.828034616,0.552836704,3.460550988,-0.828034616,0.552836704
ENSMUSG00000022108,Itm2b,6.09983914,-1.424182488,0.049927487,16.40530408,1.424182488,0.049927487
ENSMUSG00000023175,Bsg,6.081744737,-0.412512486,0.647648052,8.111199848,0.412512486,0.647648052
ENSMUSG00000045128,Rpl18a,5.956569281,1.247662097,0.307801093,2.511886904,-1.247662097,0.307801093
ENSMUSG00000006390,Elovl1,5.864881973,2.316248422,0.129593841,1.177904247,-2.316248422,0.129593841
ENSMUSG00000071076,Jund,5.855834772,-0.153516941,0.917959734,6.526028501,0.153516941,0.917959734
ENSMUSG00000031320,Rps4x,5.855699739,-0.221962133,0.847071429,6.84306277,0.221962133,0.847071429
ENSMUSG00000090733,Rps27,5.849218162,0.395203117,0.921095121,4.455550849,-0.395203117,0.921095121
ENSMUSG00000017404,Rpl19,5.844492012,0.343628639,0.970908449,4.614067983,-0.343628639,0.970908449
ENSMUSG00000060938,Rpl26,5.830988726,0.556094062,0.77359077,3.972683269,-0.556094062,0.77359077
ENSMUSG00000064363,mt-Nd4,5.801416531,-0.46796053,0.592074007,8.040476819,0.46796053,0.592074007
ENSMUSG00000061477,Rps7,5.793449593,0.851110407,0.536844634,3.216678473,-0.851110407,0.536844634
ENSMUSG00000059291,Rpl11,5.793179527,0.177075648,1,5.13351644,-0.177075648,1
ENSMUSG00000002985,Apoe,5.774815059,4.032875757,0.009197088,0.351176422,-4.032875757,0.009197088
ENSMUSG00000030717,Nupr1,5.76495766,-0.347143529,0.714295603,7.347878876,0.347143529,0.714295603
ENSMUSG00000047675,Rps8,5.69919666,-0.173645625,0.896315362,6.440673121,0.173645625,0.896315362
ENSMUSG00000028691,Prdx1,5.686098473,-1.108472028,0.141209032,12.2862973,1.108472028,0.141209032
ENSMUSG00000058546,Rpl23a,5.649099471,0.788714335,0.5822533,3.275207876,-0.788714335,0.5822533
ENSMUSG00000043716,Rpl7,5.521628456,0.38821728,0.927370851,4.226310685,-0.38821728,0.927370851
